"variable","occasion","n","mean","sd"
"extr",1,6046,3.262,0.647
"extr",2,6046,3.242,0.647
"extr",3,6046,3.224,0.65
"extr",4,6046,3.225,0.664
"extr",5,6046,3.223,0.66
"open",1,6046,3.518,0.503
"open",2,6046,3.494,0.492
"open",3,6046,3.48,0.498
"open",4,6045,3.476,0.502
"open",5,6046,3.482,0.504
"cons",1,6046,3.736,0.533
"cons",2,6046,3.717,0.525
"cons",3,6046,3.715,0.53
"cons",4,6045,3.734,0.523
"cons",5,6046,3.745,0.52
"substance_use",1,5258,0.082,0.324
"substance_use",2,5668,0.079,0.32
"substance_use",3,5268,0.074,0.339
"substance_use",4,4909,0.072,0.332
"substance_use",5,2933,0.083,0.376
